,title,description,size,num_categorical,num_spatial,num_temporal,start_date,end_date
0,311 Service Requests from 2010 to Present,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020. All 311 Service Requests from 2010 to present. This information is automatically updated daily.",7932825,9,2,6,2022-03-14,2022-05-30
1,311 Call Center Inquiry,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.",4893120,4,2,4,2021-06-01,2023-01-21
2,311 Service Requests for 2009,All 311 Requests from year 2009. This is historical data and will not be updated.,9546143,4,9,0,2019-10-25,2022-08-25
3,311 Web Content - Services,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue.",6010402,4,7,2,2022-12-17,2023-04-05
4,311 Service Requests for 2006,311 Service Requests for 2006. This is historical data and will not be updated.,3994024,2,9,0,2022-08-27,2022-11-09
5,311 Service Requests for 2005,311 Service Requests for 2005. This is historical data and will not be updated.,6088720,0,0,3,2020-08-18,2023-01-31
6,Local Law 8 of 2020 – Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A row level daily report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",3280126,9,7,3,2022-11-13,2022-11-23
7,Noise Complaints (in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,73423,1,7,0,2019-01-28,2021-02-07
8,311 Service Level Agreements,Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them.,6716355,8,1,9,2020-07-14,2022-01-17
9,311 Service Requests for 2008,311 Service Requests for 2008. This is historical data and will not be updated.,7789870,1,1,6,2021-03-05,2022-08-10
