id,title,description,size,num_categorical,num_spatial,num_temporal,start_date,end_date,x,y
0,311 Service Requests from 2010 to Present,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020. All 311 Service Requests from 2010 to present. This information is automatically updated daily.",9828700,1,5,9,2019-04-26,2020-10-24,18,117
1,311 Call Center Inquiry,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.",7373229,9,0,8,2018-05-08,2019-07-23,68,12
2,311 Service Requests for 2009,All 311 Requests from year 2009. This is historical data and will not be updated.,3377885,1,6,2,2019-12-31,2021-12-14,187,109
3,311 Web Content - Services,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue.",5008506,9,9,9,2018-09-12,2021-05-03,42,245
4,311 Service Requests for 2006,311 Service Requests for 2006. This is historical data and will not be updated.,8811927,9,0,9,2018-08-21,2019-07-20,160,190
5,311 Service Requests for 2005,311 Service Requests for 2005. This is historical data and will not be updated.,1714775,4,6,9,2019-08-01,2021-11-07,163,155
6,Local Law 8 of 2020 – Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A row level daily report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",4137403,0,8,3,2020-11-13,2022-01-20,150,187
7,Noise Complaints (in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,4192949,0,5,8,2022-01-23,2023-01-06,76,20
8,311 Service Level Agreements,Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them.,9289980,5,2,4,2022-09-09,2023-04-13,99,161
9,311 Service Requests for 2008,311 Service Requests for 2008. This is historical data and will not be updated.,3859325,5,4,4,2020-01-12,2020-12-01,231,201
10,311 complaints(Agency DSNY in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,6739133,2,4,7,2019-05-24,2019-07-15,58,144
11,311 Service Requests for 2007,311 Service Requests for 2007. This is historical data and will not be updated.,2869547,7,8,6,2019-04-04,2022-04-18,109,108
12,Local Law 8 of 2020 Report – Monthly Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A monthly report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",7140723,7,2,3,2020-09-18,2023-01-16,88,141
13,DOB Job Application Filings,"This dataset contains all job applications submitted through the Borough Offices, through eFiling, or through the HUB, which have a ""Latest Action Date"" since January 1, 2000. This dataset does not include jobs submitted through DOB NOW. See the DOB NOW: Build – Job Application Filings dataset for DOB NOW jobs.",5829471,3,2,9,2022-05-02,2023-03-03,127,110
