id,all_col_names,cat_col_names,description,end_date,num_categorical,num_columns,num_spatial,num_temporal,size,spatial_col_names,start_date,temporal_col_names,title,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,title_x,title_y,description_x,description_y,title_and_description_x,title_and_description_y,column_name_x,column_name_y
0,"closing_date, public_vehicle_number, sale_price, sellers_company_name, buyer's_company_name",,"Operation of a taxi cab in Chicago requires a City-issued medallion.  These medallions may be sold on the open market, with the City of Chicago recording the sale and change in ownership.  This dataset shows such medallion transfers.

See https://www.cityofchicago.org/city/en/depts/bacp/supp_info/medallion_owner_information.html for more information about taxi medallions in Chicago.

See https://data.cityofchicago.org/d/tfm3-3j95 for the current Public Passenger Vehicle Licenses in Chicago.  For taxis, the Public Vehicle Numbers will match between these datasets.",5/1/23,0,5,0,1,304895,,1/1/19,closing_date,Taxi Medallion Transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489143606,0.588646038,0.467526892,0.660184143,0.533136097,0.450072832,0.402201938,0.023390632
1,"tpep_pickup_datetime, pulocationid, n._trips",tpep_pickup_datetime,This dataset includes trip records from all trips completed in yellow taxis in NYC during Jul-Dec 2017.,5/1/23,0,3,0,1,13949149,,1/1/19,tpep_pickup_datetime,2017 Yellow Taxi Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499355572,0.494992242,0.106604041,0.297251713,0.552451725,0.446283867,0.410008345,0.010571561
2,"vendorid, pickup_datetime, dropoff_datetime, store_and_fwd_flag, ratecodeid, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, passenger_count, distance, price, extra_mta_tax, tip_amount, tolls_amount, ehail_fee, total_amount, payment_type, extra1, extra2, extra3, extra4, extra5",store_and_fwd_flag,This dataset contains green taxi trip records from 2015.,5/1/23,1,23,4,2,1066116963,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"pickup_datetime, dropoff_datetime",Green Taxi Data 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862436727,0.729483022,0.633858723,0.416000514,0.303918837,0.89592824,0.4025589,0.019249476
3,"pickup_datetime, n._trips, price, distance",,This dataset contains the daily number of yellow taxi trips for 2015.,5/1/23,0,4,0,1,20244,,1/1/19,pickup_datetime,Yellow Taxi Data 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760550269,0.232488423,0.853107825,0.234343524,0.235849156,0.18522966,0.4021782,0.023269404
4,"tpep_pickup_datetime, unnamed:_0, dolocationid, extra, fare_amount, improvement_surcharge, mta_tax, passenger_count, payment_type, pulocationid, ratecodeid, store_and_fwd_flag, tip_amount, tolls_amount, total_amount, tpep_dropoff_datetime, trip_distance, vendorid",store_and_fwd_flag,"new york, taxi, yellow cab, LaGuardia, LGA, city data",5/1/23,1,18,0,2,319452961,,1/1/19,"tpep_pickup_datetime, tpep_dropoff_datetime",2017-yellow-cab-lga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517681202,0.573838744,0.475753547,0.598297917,0.842278537,0.74707238,0.400707789,0.021801423
5,"vendorid, pickup_datetime, dropoff_datetime, store_and_fwd_flag, rate_code, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, total_amount, payment_type, trip_type",store_and_fwd_flag,"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,20,4,2,2523253343,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"pickup_datetime, dropoff_datetime",2014 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512969376,0.508134351,0.455042816,0.676009848,0.579094437,0.473354834,0.402559054,0.019249255
6,"vendorid, pickup_datetime, dropoff_datetime, store_and_fwd_flag, rate_code, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, improvement_surcharge, total_amount, payment_type, trip_type",store_and_fwd_flag,"This dataset includes trip records from all trips completed in green taxis in NYC in 2015. Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,21,4,2,3166006002,"pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude",1/1/19,"pickup_datetime, dropoff_datetime",2015 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.250119622,0.403754675,0.463269327,0.668191301,0.535374124,0.490143639,0.402559039,0.019249328
7,"responsedate, completiondate, taxi_usage, taxi_importance_importance_of_taxi_service:_, taxi_satisfaction_satisfaction_with_taxi_service, taxi_fares_fuel_and_vehicle_maintenance_costs, taxi_fares_vehicle_rental_or_purchase_cost, taxi_fares_insurance_cost, taxi_fares_cost_of_living_in_the_city_(consumer_price_index), taxi_fares_driver's_standard_of_living, fare_increase, ostype, devicetype, browsertype, q3_own_rent_(study:_profiling_questionnaire_2014), gender_(study:_profiling_questionnaire_2014), q7_children_(study:_profiling_questionnaire_2014), q8_born_canada_(study:_profiling_questionnaire_2014), q9a_edmonton_(study:_profiling_questionnaire_2014), q10_own_business_(study:_profiling_questionnaire_2014), q11_home_language_(study:_profiling_questionnaire_2014), q12_employment_status_(study:_profiling_questionnaire_2014), q13_volunteer_(study:_profiling_questionnaire_2014), q14a_primary_transportation_(study:_profiling_questionnaire_2014), q14b_secondary_transportation_(study:_profiling_questionnaire_2014), q15_household_income_(study:_profiling_questionnaire_2014), q16_education_(study:_profiling_questionnaire_2014), q17_city_employee_(study:_profiling_questionnaire_2014), fsa_(study:_profiling_questionnaire_2014), age_rollup_detailed_(study:_profiling_questionnaire_2014)","taxi_usage, taxi_importance_importance_of_taxi_service:_, taxi_satisfaction_satisfaction_with_taxi_service, fare_increase, ostype, devicetype, browsertype, q3_own_rent_(study:_profiling_questionnaire_2014), gender_(study:_profiling_questionnaire_2014), q7_children_(study:_profiling_questionnaire_2014), q8_born_canada_(study:_profiling_questionnaire_2014), q10_own_business_(study:_profiling_questionnaire_2014), q11_home_language_(study:_profiling_questionnaire_2014), q13_volunteer_(study:_profiling_questionnaire_2014), q14a_primary_transportation_(study:_profiling_questionnaire_2014), q14b_secondary_transportation_(study:_profiling_questionnaire_2014), q15_household_income_(study:_profiling_questionnaire_2014), q16_education_(study:_profiling_questionnaire_2014), q17_city_employee_(study:_profiling_questionnaire_2014), fsa_(study:_profiling_questionnaire_2014), age_rollup_detailed_(study:_profiling_questionnaire_2014)","This was one single topic among many as part of the September  2014 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=86&t=1. Open from Sept 08 - 15, 2014. At the time the survey was launched survey invitations were sent to 1291 Insight Community Members. 703 members completed the survey which represents a completion rate of 54%. A total of 919 respondents completed the survey: 703 Insight Community Members and 216 using the anonymous link which will have no demographic info.",5/1/23,21,30,0,2,285725,,1/1/19,"responsedate, completiondate",Taxi Usage - Edmonton Insight Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262861257,0.720029748,0.485928263,0.563155773,0.548505254,0.792335399,0.397992921,0.03136854
8,"pickup_datetime, dropoff_datetime, store_and_fwd_flag, rate_code, dropoff_latitude, passenger_count, trip_distance, fare_amount, extra, mta_tax, tip_amount, tolls_amount, ehail_fee, total_amount, payment_type, trip_type, pickup_longitude, pickup_latitude, dropoff_longitude, vendor_id",store_and_fwd_flag,"This dataset includes trip records from all trips completed in green taxis in NYC in 2013. Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP). The trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.",5/1/23,1,20,4,2,191336940,"dropoff_latitude, pickup_longitude, pickup_latitude, dropoff_longitude",1/1/19,"pickup_datetime, dropoff_datetime",2013 Green Taxi Trip Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560848411,0.420023963,0.460481812,0.665607616,0.533050179,0.452428086,0.40178531,0.019973205
9,"responsedate, completiondate, q1_taxi, q2_taxi_booked_an_accessible_taxi_for_yourself_in_edmonton, q2_taxi_booked_an_accessible_taxi_for_someone_else_in_edmonton, q2_taxi_unsuccessfully_attempted_to_book_an_accessible_taxi_in_edmonton, q2_taxi_have_never_booked_an_accessible_cab_for_myself_or_someone_else, q2a_taxi, q2b_taxi_require_door_to_door_service, q2b_taxi_convenient, q2b_taxi_avoids_parking_problems, q2b_taxi_do_not_have_a_car, q2b_taxi_fast, q2b_taxi_cost_effectiveness, q2b_taxi_safe_method_of_transport, q2b_taxi_cannot_drive, q2b_taxi_no_other_choice, q2b_taxi_other_(please_specify), q2c_taxi_the_wait_time_was_reasonable, q2c_taxi_i_am_happy_with_accessible_taxis_in_edmonton, q2c_taxi_i_would_like_to_use_accessible_taxis_more_often, q2d_taxi_taxi_arrived_late, q2d_taxi_taxi_didnt_arrive, q2d_taxi_service_was_refused_(e.g._due_to_service_animals,_mobility_aid_etc), q2d_taxi_other_(please_specify), q2d_taxi_i_have_had_no_issues_using_accessible_taxis, q2di_taxi, q2e_taxi_better_response, q2e_taxi_lower/no_cost_to_rider, q2e_taxi_more_accessible_taxis_in_the_fleet, q2e_taxi_other_(please_specify), q2e_taxi_no_improvements_needed, ostype, devicetype, browsertype, q3_own_rent_(study:_profiling_questionnaire_2014), gender_(study:_profiling_questionnaire_2014), q7_children_(study:_profiling_questionnaire_2014), q8_born_canada_(study:_profiling_questionnaire_2014), q9a_edmonton_(study:_profiling_questionnaire_2014), q10_own_business_(study:_profiling_questionnaire_2014), q11_home_language_(study:_profiling_questionnaire_2014), q13_volunteer_(study:_profiling_questionnaire_2014), q14a_primary_transportation_(study:_profiling_questionnaire_2014), q14b_secondary_transportation_(study:_profiling_questionnaire_2014), q15_household_income_(study:_profiling_questionnaire_2014), q16_education_(study:_profiling_questionnaire_2014), q17_city_employee_(study:_profiling_questionnaire_2014), fsa_(study:_profiling_questionnaire_2014), age_rollup_detailed_(study:_profiling_questionnaire_2014)","q1_taxi, q2c_taxi_the_wait_time_was_reasonable, q2c_taxi_i_am_happy_with_accessible_taxis_in_edmonton, q2di_taxi, ostype, devicetype, browsertype, q3_own_rent_(study:_profiling_questionnaire_2014), gender_(study:_profiling_questionnaire_2014), q7_children_(study:_profiling_questionnaire_2014), q8_born_canada_(study:_profiling_questionnaire_2014), q10_own_business_(study:_profiling_questionnaire_2014), q11_home_language_(study:_profiling_questionnaire_2014), q13_volunteer_(study:_profiling_questionnaire_2014), q14a_primary_transportation_(study:_profiling_questionnaire_2014), q14b_secondary_transportation_(study:_profiling_questionnaire_2014), q15_household_income_(study:_profiling_questionnaire_2014), q16_education_(study:_profiling_questionnaire_2014), q17_city_employee_(study:_profiling_questionnaire_2014), fsa_(study:_profiling_questionnaire_2014), age_rollup_detailed_(study:_profiling_questionnaire_2014)","This was one single topic among many from Part 2 of the March 2017 Mixed Topic survey. To view the survey questions, click on the following link:

https://www.edmontoninsightcommunity.ca/R.aspx?a=1623&as=9jF1MQ27Rm&t=1

Open from March 21 - 28, 2017. 

At the time the survey was launched survey invitations were sent to 6705 Insight Community Members. 1748 members completed the survey which represents a completion rate of 26%. A total of 1758 respondents completed the survey: 1748 Insight Community Members and 10 using the anonymous link(s) which will have no demographic info.

Column definitions can be found as an attachment to this dataset (under the About option, in the Attachment section).",5/1/23,21,50,0,2,495874,,1/1/19,"responsedate, completiondate",Accessible Taxi - Edmonton Insight Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52340149,0.446235281,0.482274747,0.599285132,0.527851985,0.455290065,0.397605326,0.031321118
